DIA,MES,AÑO,LECHE_PARA_QUESILLO (LTS),TOTAL_PROCESADO (LTS),PRODUCCION (QTY)
1,6,2019,4.785,6.885,2.754
2,6,2019,7.100,7.100,4.094
3,6,2019,0,0,0
4,6,2019,7.840,11.740,4.546
5,6,2019,4.320,6.420,2.515
6,6,2019,6.520,6.520,3.832
7,6,2019,4.310,6.410,2.496
8,6,2019,4.500,6.600,2.649
9,6,2019,6.444,6.444,3.694
10,6,2019,0,0,0
11,6,2019,9.073,12.973,5.335
12,6,2019,2.520,6.420,1.431
13,6,2019,4.300,6.400,2.455
14,6,2019,4.490,6.490,2.540
15,6,2019,4.400,6.500,2.502
16,6,2019,6.584,6.584,3.784
17,6,2019,0,0,0
18,6,2019,8.400,12.300,4.788
19,6,2019,3.700,7.600,2.165
20,6,2019,2.750,6.700,1.551
21,6,2019,2.800,6.700,1.640
22,6,2019,4.600,6.700,2.663
23,6,2019,6.600,6.600,3.765
24,6,2019,0,0,0
25,6,2019,9.600,13.500,5.532
26,6,2019,2.910,6.810,1.702
27,6,2019,3.000,6.900,1.763
28,6,2019,5.000,6.850,2.914
29,6,2019,4.700,6.800,2.705
30,6,2019,4.721,6.821,2.699
1,7,2019,0,0,0
2,7,2019,8.400,12.600,4.812
3,7,2019,4.050,7.950,2.375
4,7,2019,4.650,6.750,2.678
5,7,2019,6.750,6.750,3.915
6,7,2019,4.825,6.925,2.821
7,7,2019,6.840,6.840,3.945
8,7,2019,0,0,0
9,7,2019,9.700,13.900,5.590
10,7,2019,4.800,6.900,2.830
11,7,2019,2.925,6.925,1.677
12,7,2019,4.890,6.990,2.884
13,7,2019,6.901,6.901,4.031
14,7,2019,3.061,7.161,1.795
15,7,2019,0,0,0
16,7,2019,9.851,14.051,5.701
17,7,2019,3.008,7.208,1.742
18,7,2019,2.930,7.130,1.693
19,7,2019,5.204,7.304,2.931
20,7,2019,3.000,7.200,1.743
21,7,2019,7.113,7.113,4.118
22,7,2019,0,0,0
23,7,2019,9.900,14.100,5.738
24,7,2019,3.600,7.800,2.092
25,7,2019,3.300,7.335,1.905
26,7,2019,7.400,7.400,4.346
27,7,2019,7.460,7.460,4.340
28,7,2019,3.326,7.526,1.909
29,7,2019,0,0,0
30,7,2019,10.000,14.200,5.855
31,7,2019,4.140,8.340,2.407
1,8,2019,3.297,7.497,1.906
2,8,2019,7.403,7.403,4.275
3,8,2019,3.300,7.500,1.895
4,8,2019,5.202,7.302,2.975
5,8,2019,0,0,0
6,8,2019,9.900,14.100,5.684
7,8,2019,4.500,8.700,2.622
8,8,2019,3.515,7.715,1.958
9,8,2019,7.700,7.700,4.462
10,8,2019,3.687,7.887,2.121
11,8,2019,4.080,7.780,2.394
12,8,2019,0,0,0
13,8,2019,9.900,14.100,5.784
14,8,2019,5.104,9.304,2.984
15,8,2019,1.500,7.200,855
16,8,2019,4.150,8.350,2.406
17,8,2019,3.593,7.793,2.069
18,8,2019,5.593,7.693,3.198
19,8,2019,0,0,0
20,8,2019,11.132,15.332,6.502
21,8,2019,3.638,7.838,2.094
22,8,2019,3.638,7.838,2.055
23,8,2019,5.799,7.899,3.341
24,8,2019,2.220,7.920,1.274
25,8,2019,5.610,7.610,3.216
26,8,2019,0,0,5
27,8,2019,9.900,14.100,5.736
28,8,2019,5.444,9.644,3.114
29,8,2019,3.085,7.285,1.753
30,8,2019,3.100,7.300,1.745
31,8,2019,6.509,8.609,3.760
1,9,2019,6.000,8.100,3.469
2,9,2019,0,0,0
3,9,2019,9.900,14.100,5.820
4,9,2019,4.917,9.117,2.892
5,9,2019,3.605,7.805,2.083
6,9,2019,3.605,7.805,2.107
7,9,2019,5.622,7.722,3.247
8,9,2019,5.080,7.180,2.899
9,9,2019,0,0,0
10,9,2019,9.900,14.100,5.777
11,9,2019,4.080,8.280,2.357
12,9,2019,3.350,7.550,1.960
13,9,2019,3.590,7.790,2.058
14,9,2019,1.800,7.500,1.029
15,9,2019,0,5.700,0
16,9,2019,0,5.700,0
17,9,2019,0,5.802,0
18,9,2019,1.611,7.311,940
19,9,2019,8.500,12.700,4.955
20,9,2019,3.942,8.142,2.295
21,9,2019,5.400,7.500,3.137
22,9,2019,7.400,7.400,4.329
23,9,2019,0,0,0
24,9,2019,9.900,14.100,5.875
25,9,2019,4.378,8.578,2.570
26,9,2019,5.466,7.566,3.224
27,9,2019,6.600,6.600,3.843
28,9,2019,8.300,8.300,4.829
29,9,2019,4.980,8.980,2.921
30,9,2019,0,0,0
1,10,2019,8.400,12.600,4.789
2,10,2019,6.596,8.696,3.837
3,10,2019,3.944,6.044,2.316
4,10,2019,7.691,7.691,4.476
5,10,2019,3.300,7.500,1.906
6,10,2019,7.063,8.863,4.105
7,10,2019,0,0,0
8,10,2019,8.400,12.600,4.917
9,10,2019,5.098,9.298,2.945
10,10,2019,3.554,7.754,2.056
11,10,2019,7.710,7.710,4.487
12,10,2019,6.012,7.812,3.505
13,10,2019,4.100,7.700,2.403
14,10,2019,0,0,0
15,10,2019,8.400,12.600,4.828
16,10,2019,5.084,9.284,2.925
17,10,2019,5.150,7.250,2.979
18,10,2019,7.112,7.112,4.153
19,10,2019,2.867,7.067,1.671
20,10,2019,5.061,7.161,2.922
21,10,2019,0,0,0
22,10,2019,8.400,12.600,4.870
23,10,2019,5.100,9.300,2.940
24,10,2019,3.100,7.300,1.807
25,10,2019,7.352,7.352,4.173
26,10,2019,5.387,7.487,3.140
27,10,2019,4.071,7.671,2.373
28,10,2019,0,0,0
29,10,2019,8.400,12.600,4.908
30,10,2019,5.315,9.515,3.060
31,10,2019,3.370,7.470,1.935
1,11,2019,5.645,7.745,3.314
2,11,2019,5.412,7.512,3.146
3,11,2019,5.591,7.691,3.243
4,11,2019,0,0,0
5,11,2019,8.400,12.600,4.797
6,11,2019,6.495,10.695,3.720
7,11,2019,3.710,7.910,2.124
8,11,2019,3.700,7.900,2.155
9,11,2019,3.100,7.300,1.812
10,11,2019,5.500,7.600,3.204
11,11,2019,0,0,0
12,11,2019,8.438,12.638,4.841
13,11,2019,5.325,9.525,2.984
14,11,2019,3.608,7.808,1.995
15,11,2019,5.537,7.637,3.149
16,11,2019,3.350,7.550,1.952
17,11,2019,7.600,7.600,4.437
18,11,2019,0,0,0
19,11,2019,8.400,12.600,4.920
20,11,2019,6.050,10.250,3.488
21,11,2019,3.476,7.676,2.010
22,11,2019,5.371,7.471,3.131
23,11,2019,5.219,7.319,3.030
24,11,2019,5.502,7.352,3.178
25,11,2019,0,0,0
26,11,2019,8.400,12.600,4.948
27,11,2019,5.852,10.052,3.348
28,11,2019,3.460,7.660,1.984
29,11,2019,5.790,7.890,3.316
30,11,2019,3.903,7.703,2.242
1,12,2019,5.850,7.700,3.372
2,12,2019,0,0,0
3,12,2019,8.400,12.600,4.817
4,12,2019,6.100,10.300,3.511
5,12,2019,5.540,7.640,3.162
6,12,2019,5.197,7.297,2.937
7,12,2019,3.374,7.574,1.940
8,12,2019,5.304,7.304,3.047
9,12,2019,0,0,0
10,12,2019,8.500,12.700,4.914
11,12,2019,4.970,9.170,2.865
12,12,2019,5.270,7.370,2.971
13,12,2019,7.547,7.547,4.371
14,12,2019,3.335,7.535,1.900
15,12,2019,5.447,7.547,3.180
16,12,2019,0,0,0
17,12,2019,8.550,12.750,4.952
18,12,2019,6.034,10.234,3.491
19,12,2019,3.330,7.530,1.926
20,12,2019,5.800,7.900,3.360
21,12,2019,0,5.700,0
22,12,2019,5.952,9.572,3.471
23,12,2019,0,0,0
24,12,2019,6.003,11.703,3.358
25,12,2019,0,0,0
26,12,2019,8.450,12.650,4.892
27,12,2019,5.100,10.800,2.955
28,12,2019,3.000,8.700,1.737
29,12,2019,3.930,8.130,2.289
30,12,2019,0,4.200,0
31,12,2019,6.150,11.850,3.550
1,1,2020,0,0,0
2,1,2020,8.400,12.600,4.766
3,1,2020,7.990,10.090,4.529
4,1,2020,3.323,7.423,1.882
5,1,2020,5.730,7.830,3.266
6,1,2020,0,0,0
7,1,2020,8.400,12.600,4.795
8,1,2020,6.196,10.396,3.585
9,1,2020,3.450,7.650,1.959
10,1,2020,6.030,8.130,3.462
11,1,2020,8.090,8.090,4.615
12,1,2020,5.600,7.700,3.216
13,1,2020,0,0,0
14,1,2020,8.400,12.600,4.868
15,1,2020,6.350,10.550,3.652
16,1,2020,3.930,8.130,2.281
17,1,2020,5.971,8.071,3.471
18,1,2020,6.000,8.100,3.438
19,1,2020,5.757,7.857,3.286
20,1,2020,0,0,0
21,1,2020,8.400,12.600,4.841
22,1,2020,6.183,10.383,3.529
23,1,2020,3.655,7.855,2.036
24,1,2020,7.637,7.637,4.461
25,1,2020,3.802,8.002,2.103
26,1,2020,6.189,8.289,3.532
27,1,2020,0,0,0
28,1,2020,10.000,14.200,5.790
29,1,2020,6.870,11.070,3.890
30,1,2020,4.302,8.502,2.505
31,1,2020,4.340,8.540,2.502
1,2,2020,2.531,8.531,1.481
2,2,2020,6.190,8.290,3.571
3,2,2020,0,0,0
4,2,2020,9.900,14.100,5.709
5,2,2020,6.150,10.350,3.508
6,2,2020,4.150,8.350,2.347
7,2,2020,3.800,8.000,2.143
8,2,2020,4.000,8.200,2.270
9,2,2020,6.050,8.150,3.477
10,2,2020,0,0,0
11,2,2020,9.900,14.100,5.723
12,2,2020,5.987,10.187,3.494
13,2,2020,3.950,8.150,2.227
14,2,2020,4.090,8.290,2.324
15,2,2020,3.992,8.192,2.246
16,2,2020,8.050,8.050,4.697
17,2,2020,0,0,0
18,2,2020,9.900,14.100,5.764
19,2,2020,4.502,10.502,2.613
20,2,2020,3.923,8.123,2.236
21,2,2020,4.142,8.342,2.426
22,2,2020,2.408,8.408,1.394
23,2,2020,6.050,8.150,3.511
